lib_name,lib_address,latitude,longitude,lib_name_survey,lib_address_survey,broadband,wifi,down_open,upload_open,down_midday,upload_midday,down_close,upload_close,avg_down_speed,avg_up_speed
Robert Crown Branch,"1801 Main Street Evanston, IL 60201",42.0339648,-87.6960153,Evanston Public Library,"1801 Main Street, Evanston, IL 60602",Yes,Yes,111.0,227.0,217.0,219.0,166.0,206.0,164.66666666666666,217.33333333333334
Evansville Public Library,"602 Public Street Evansville, IL 62242-0299",38.0907892,-89.93635909999999,Evansville Public Library,"602 Public St. Evansville, IL 62242",Yes,Yes,7.0,1.0,7.0,1.0,7.0,1.0,7.0,1.0
Evergreen Park Public Library,"9400 South Troy Avenue Evergreen Park, IL 60805-2330",41.7222547,-87.7010188,Evergreen Park Public Library,9400 S. Troy Avenue,Yes,Yes,55.0,34.0,53.0,35.0,262.0,34.0,123.33333333333333,34.333333333333336
Fairfield Public Library,"300 South East Second Street Fairfield, IL 62837-2127",38.3771366,-88.3586129,,,,,,,,,,,,
Fairview Heights Public Library,"10017 Bunkum Road Fairview Heights, IL 62208-1703",38.5981597,-90.01059359999999,Fairview Heights Public Library,10017 Bunkum Rd,Yes,Yes,113.0,35.0,113.0,35.0,112.0,35.0,112.66666666666667,35.0
Farmer City Public Library,"109 East Green Street Farmer City, IL 61842-0201",40.2434457,-88.6418445,,,,,,,,,,,,
Farmersville-Waggoner Public Library District,"210 South Cleveland Street Farmersville, IL 62533-0012",39.4419603,-89.65182229999999,,,,,,,,,,,,
Farmington Area Library District,"411 North Lightfoot Road Farmington, IL 61531-9601",40.6951778,-89.9875397,Farmington Area Public Library District,"411 N Lightfoot Rd.  Farmington, IL 61531",Yes,Yes,52.0,50.0,58.0,45.0,51.0,50.0,53.666666666666664,48.333333333333336
Filger Public Library,"261 East Fifth Street Minonk, IL 61760-1303",40.901666,-89.03165399999999,,,,,,,,,,,,
Flagg-Rochelle Public Library District,"619 Fourth Avenue Rochelle, IL 61068-1512",41.9231299,-89.0684254,,,,,,,,,,,,
Flanagan Public Library District,"Post Office Box 494 Flanagan, IL 61740-0494",40.878089,-88.8611818,,,,,,,,,,,,
Flewellin Memorial Library,"108 West Comanche Avenue Shabbona, IL 60550-0190",41.7681637,-88.87320509999999,,,,,,,,,,,,
Flora Public Library,"216 North Main Street Flora, IL 62839-1510",38.6702117,-88.48598319999999,,,,,,,,,,,,
Flossmoor Public Library,"1000 Sterling Avenue Flossmoor, IL 60422-1253",41.5442257,-87.6788694,,,,,,,,,,,,
Fondulac Public Library District,"400 Richland Street East Peoria, IL 61611-2461",40.670581,-89.58590699999999,,,,,,,,,,,,
Forest Park Public Library,"7555 Jackson Boulevard Forest Park, IL 60130-1809",41.8761235,-87.8142891,,,,,,,,,,,,
Forman Valley Public Library District,"404 1/2 S. Harrison Street Manito, IL 61546-0170",40.4214563,-89.77960069999999,,,,,,,,,,,,
Forrest Public Library District,"301 West James Street Forrest, IL 61741",40.7534414,-88.41392979999999,Forrest Public Library,301 W James Street Forrest IL 61741,,,,,,,,,,
Forreston Public Library,"204 First Avenue Forreston, IL 61030-0606",42.1262006,-89.57941819999999,,,,,,,,,,,,
Forsyth Public Library,"268 South Elwood Street Forsyth, IL 62535-0020",39.9332613,-88.9504479,Forsyth Public Library,"268 S. Elwood St. Forsyth, IL 62535",Yes,Yes,320.0,115.0,320.0,115.0,320.0,114.0,320.0,114.66666666666667
Fossil Ridge Public Library District,"386 W Kennedy Rd Braidwood, IL 60408 1903",41.26049769999999,-88.2236377,,,,,,,,,,,,
Fountaindale Public Library District,"300 West Briarcliff Road Bolingbrook, IL 60440-2844",41.69903670000001,-88.07830100000001,Fountaindale Public Library District,"300 W Briarcliff Rd, Bolingbrook, IL 60440",Yes,Yes,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0
Four Star Public Library District,"132 West South Street Mendon, IL 62351-0169",40.0885214,-91.2849282,,,,,,,,,,,,
